날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 12월 09일,"174,200","176,100","176,900","173,400",17.03K,-1.14%
2019년 12월 08일,"176,200","172,600","177,500","171,900",11.57K,2.09%
2019년 12월 07일,"172,600","174,000","174,800","172,500",4.87K,-0.80%
2019년 12월 06일,"174,000","174,000","175,000","172,200",13.75K,-0.06%
2019년 12월 05일,"174,100","172,000","175,900","170,300",10.59K,1.10%
2019년 12월 04일,"172,200","173,700","177,400","169,800",18.42K,-0.86%
2019년 12월 03일,"173,700","175,500","176,500","172,500",5.96K,-1.03%
2019년 12월 02일,"175,500","177,400","177,900","173,300",6.22K,-0.90%
2019년 12월 01일,"177,100","178,200","179,200","171,900",10.22K,-0.78%
2019년 11월 30일,"178,500","181,200","181,900","176,100",11.44K,-1.49%
2019년 11월 29일,"181,200","177,100","184,700","176,500",17.22K,2.43%
2019년 11월 28일,"176,900","178,600","180,900","175,200",16.03K,-0.84%
2019년 11월 27일,"178,400","173,100","181,800","165,100",38.56K,2.88%
2019년 11월 26일,"173,400","171,000","176,500","168,600",16.30K,1.46%
2019년 11월 25일,"170,900","166,600","177,800","155,100",30.81K,2.64%
2019년 11월 24일,"166,500","180,400","181,300","165,100",46.07K,-7.60%
2019년 11월 23일,"180,200","178,400","183,000","174,100",15.77K,1.12%
2019년 11월 22일,"178,200","190,900","193,200","166,900",41.02K,-6.65%
2019년 11월 21일,"190,900","204,700","205,800","187,000",34.39K,-6.79%
2019년 11월 20일,"204,800","206,000","207,300","203,300",8.88K,-0.53%
2019년 11월 19일,"205,900","208,500","209,000","202,200",14.27K,-1.29%
2019년 11월 18일,"208,600","214,700","214,800","206,800",17.54K,-2.84%
2019년 11월 17일,"214,700","213,300","217,000","210,500",6.46K,0.61%
2019년 11월 16일,"213,400","211,100","214,700","210,100",7.25K,1.09%
2019년 11월 15일,"211,100","215,500","217,200","208,000",16.34K,-1.95%
2019년 11월 14일,"215,300","219,000","219,400","214,000",12.79K,-1.69%
2019년 11월 13일,"219,000","217,700","220,200","215,400",26.28K,0.60%
2019년 11월 12일,"217,700","215,200","218,300","213,000",9.62K,1.07%
2019년 11월 11일,"215,400","219,000","220,300","214,500",16.00K,-1.64%
2019년 11월 10일,"219,000","215,300","221,900","213,100",21.69K,1.72%
2019년 11월 09일,"215,300","213,900","215,900","212,800",33.96K,0.65%
2019년 11월 08일,"213,900","216,400","217,900","210,600",22.30K,-1.16%
2019년 11월 07일,"216,400","220,000","221,200","213,500",10.27K,-1.68%
2019년 11월 06일,"220,100","217,900","223,400","216,900",108.71K,0.96%
2019년 11월 05일,"218,000","214,700","222,000","212,200",81.10K,1.54%
2019년 11월 04일,"214,700","212,900","218,500","210,500",89.81K,0.94%
2019년 11월 03일,"212,700","213,600","215,500","210,100",7.98K,-0.28%
2019년 11월 02일,"213,300","213,900","216,200","212,300",13.19K,-0.28%
